,title,company,location,summary,link
1,Data Scientist,Cognowiz solutions LLC,"Herndon, VA","· Ideal candidate should have a degree in a quantitative field (e.g., mathematics, computer science, physics, economics, engineering, statistics, operations…",https://www.indeed.com/company/Cognowiz-solutions-LLC/jobs/Data-Scientist-dd25f8809ed80778?fccid=6f3afb2c19af6e1b&vjs=3
2,"Data Scientist, Intermediate",UVA Medical Center,"Charlottesville, VA",Collaborate with assigned departments to provide actionable data-driven insights through research and analysis of data sources and development of statistical…,https://www.indeed.com/rc/clk?jk=7f539cf07d667e63&fccid=ac3ca395d43dcd7d&vjs=3
3,Data Scientist,Bains Consulting LLC,"Washington, DC",Our team is looking for Data Application/ Architect with one of the federal client Following are the skill sets the client is looking. - 10+ years of…,https://www.indeed.com/company/Bains-Consultiing-LLC/jobs/Data-Scientist-d45d4fe55396d210?fccid=a4daa6730e49fbd2&vjs=3
4,Data Scientist,Arshi Systems Inc.,"Charlotte, NC","Our client is one of the world’s leading petrochemical companies with a presence in 31 countries, 94 manufacturing facilities, 16,000 employees, and $10B in…",https://www.indeed.com/company/Arshisystems/jobs/Data-Scientist-7f87061bd1cf7978?fccid=4d47293ec5364fb5&vjs=3
5,Data Scientist,MedThink,"Cary, NC","Are you a strategic, analytical thinker who is driven to find innovative solutions? Do you love finding insights and knowledge within large and/or complex…",https://www.indeed.com/rc/clk?jk=150f90500e0c7d8a&fccid=0b20e67a8cb5eab7&vjs=3
6,Data Scientist,Lore Ventures,"Palo Alto, CA",We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to…,https://www.indeed.com/company/Lore-Ventures/jobs/Data-Scientist-35d4088a490e2b7f?fccid=4c45ad5264ad03c6&vjs=3
7,Undergraduate Internship/Co-op Program - Data Scientist,Central Intelligence Agency,"Washington, DC","As a Data Scientist Undergraduate Intern for the CIA, you will work side-by-side with other Data Scientists to organize and interpret data to inform US…",https://www.indeed.com/rc/clk?jk=4df5e9a053f32646&fccid=e9870e3159e9c6ac&vjs=3
8,AI/ML Data Scientist,Applied Information Sciences,"Reston, VA","Location: Reston, Virginia, United States Requisition Number: 574 Position Title: AI/ML Data Scientist External Description: Now Hiring an AI/ML Data…",https://www.indeed.com/rc/clk?jk=3c3e47c720381f1d&fccid=edbbf93fc5210a17&vjs=3
9,Data Scientist (All Levels) - Reduced Form Causal Analysis,Twitter,"Seattle, WA","Company Description Twitter is what’s happening and what people are talking about right now. For us, life's not about a job, it's about purpose. We believe…",https://www.indeed.com/rc/clk?jk=5db3657b02c357cf&fccid=7a3824693ee1074b&vjs=3
10,"Senior Data Scientist (Washington, D.C. or U.S. Remote)",Wallethub,"Washington, DC","WalletHub, the #1 Personal Finance App in the US and one of Forbes’ Top 100 Best StartUp Employers in 2020, is rapidly growing and eager to add new members to…",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AdG_CIvTSdkr6QdMv9THtz7Vhc_c7dZNImXGc14ZzLxV-BpKD8QZu34csDZFS5mErNljNBNoTBgWQPlp4GADLQOMHV1aSgOMFe39ho70h0-VURGUTgG_9tl6pG6ssEDlqD2rb9ACz2CB9INiXlVYe5SE98F_HmrPbd-QJ3T08jITo2Rz8UWXkXKh7QnKE3qPOPQz38IZ3V1La46qfXqiHAx8laZhrwLrcgtCDWBx58qPDBa94d9xmXKsImehx10-WlqIntxIXGOBe6wLSnZ4eDB2rPY6pZbg0qFp25b4fEvfQh_-KiCr1r101qyop9DZgUPXc2YMM-vuJ5lcSqhjJReF6L79UEbRM7tc47_7Xyms4rjC6GRtoSsTPK_DOikc_W0IYghL6gT6DqLcSi9ahdrbyXnVISh5eLxS40oe7kTYIEnuD-GQQR5VfS8_ZUfqa14HXGeKBE3ln3jTG4J3kE8uA8aH8vllgTFBTar_X7gg==&p=9&fvj=1&vjs=3
11,Data Scientist,DataLab USA,"Germantown, MD",Data Scientist Company Description DataLab USA is an analytics and technology driven database marketing consultancy. We combine sophisticated technology…,https://www.indeed.com/company/Datalab-USA/jobs/Data-Scientist-e514d7f23ee0206b?fccid=b9a42c510078fe6e&vjs=3
12,Data Scientist,ACHNET Inc,"Plano, TX","* Building and owning large scale machine learning models * Processing large datasets (predominantly text, but also images) and working with big data…",https://www.indeed.com/company/ACHNET-Inc/jobs/Data-Scientist-4678de7d2ce1a4e9?fccid=4c8feeee8e552116&vjs=3
13,Forward Deployed Data Scientist,Cresta,NA,Forward Deployed Data Scientist Cresta is on a mission to make office workers 100x more effective (10x better and 10x faster) through the help of Artificial…,https://www.indeed.com/rc/clk?jk=9dc6b800a28e75ef&fccid=89f15f8fbcb9d345&vjs=3
14,"Psomagen, Inc.] Bioinformatics Data Scientist I/II/III","Psomagen, Inc.","Rockville, MD","Data Scientist I/II/III Job Description: Psomagen, Inc. (formerly known as Macrogen Corp.) in Rockville, MD is seeking Computational Scientists…",https://www.indeed.com/company/Macrogen-Corp./jobs/Bioinformatic-Data-Scientist-cd40cad56160ec87?fccid=6229ee526a7f8557&vjs=3
