Company Name,Year,Industry,Market Cap,Title,Proposal Type General,Proposal Type Specific,Proponent,Proponent Type General,Proponent Type Specific,Votes For %
Chevron Corp CVX,2006,Petroleum Refining,"$124,318,458,859.25 ",Report on Oil & Gas Drilling in Protected Areas,Social Policy,Environmental,N/A - Undisclosed,Other,Undisclosed,8.66
Chevron Corp CVX,2006,Petroleum Refining,"$124,318,458,859.25 ",Report on Ecuador,Social Policy,Environmental,Susan Goldman,Individual,Individual,8.37
Chevron Corp CVX,2007,Petroleum Refining,"$148,351,284,883.16 ",GREENHOUSE GAS EMISSIONS,Social Policy,Environmental,N/A - Undisclosed,Other,Undisclosed,8.47
Chevron Corp CVX,2007,Petroleum Refining,"$148,351,284,883.16 ",HOST COUNTRY ENVIRONMENTAL LAWS,Social Policy,Environmental,N/A - Undisclosed,Other,Undisclosed,8.57
Chevron Corp CVX,2008,Petroleum Refining,"$176,557,486,492.64 ",Report on Canadian Oil Sands,Social Policy,Environmental,N/A - Undisclosed,Other,Undisclosed,28.61
Chevron Corp CVX,2008,Petroleum Refining,"$176,557,486,492.64 ",Greenhouse Gas Emissions Goals,Social Policy,Environmental,"Dominican Sisters of Sparkill, NY",Social,Religious Institutions,10.42
Chevron Corp CVX,2010,Petroleum Refining,"$154,050,443,842.71 ",Appoint Indep. Dir. with Environmental Expertise,Social Policy,Environmental,N/A - Undisclosed,Other,Undisclosed,26.8
Chevron Corp CVX,2010,Petroleum Refining,"$154,050,443,842.71 ",Report on Financial Risks from Climate Change,Social Policy,Environmental,N/A - Undisclosed,Other,Undisclosed,8.6
Chevron Corp CVX,2011,Petroleum Refining,"$217,749,317,576.80 ",Nominate an Independent Environmental Expert as Director,Social Policy,Environmental,N/A - Undisclosed,Other,Undisclosed,24.8
Chevron Corp CVX,2011,Petroleum Refining,"$217,749,317,576.80 ",Use Sustainability as a Performance Measure for Exec. Comp.,Social Policy,Environmental,N/A - Undisclosed,Other,Undisclosed,5.6
Chevron Corp CVX,2011,Petroleum Refining,"$217,749,317,576.80 ",Report on Financial Risks from Climate Change,Social Policy,Environmental,N/A - Undisclosed,Other,Undisclosed,7.3
Chevron Corp CVX,2011,Petroleum Refining,"$217,749,317,576.80 ",Report on Environmental Impact of Fracturing Operations,Social Policy,Environmental,N/A - Undisclosed,Other,Undisclosed,40.5
Chevron Corp CVX,2011,Petroleum Refining,"$217,749,317,576.80 ",Report on Offshore Oil Wells,Social Policy,Environmental,N/A - Undisclosed,Other,Undisclosed,8.6
Chevron Corp CVX,2012,Petroleum Refining,"$208,314,394,569.60 ",Report on Hydraulic Fracturing,Social Policy,Environmental,N/A - Undisclosed,Other,Undisclosed,27.9
Chevron Corp CVX,2012,Petroleum Refining,"$208,314,394,569.60 ",Appoint Independent Director with Environmental Expertise,Social Policy,Environmental,N/A - Undisclosed,Other,Undisclosed,21.5
Chevron Corp CVX,2013,Petroleum Refining,"$228,317,023,733.76 ",Report on Shale Energy Operations,Social Policy,Environmental,N/A - Undisclosed,Other,Undisclosed,30.2
Chevron Corp CVX,2013,Petroleum Refining,"$228,317,023,733.76 ",Investment Hazards of Offshore Drilling,Social Policy,Environmental,N/A - Undisclosed,Other,Undisclosed,7.3
Chevron Corp CVX,2013,Petroleum Refining,"$228,317,023,733.76 ",Report on Climate Risk,Social Policy,Environmental,N/A - Undisclosed,Other,Undisclosed,7.6
Chevron Corp CVX,2013,Petroleum Refining,"$228,317,023,733.76 ",Nominate Director with Environmental Expertise,Social Policy,Environmental,N/A - Undisclosed,Other,Undisclosed,21.7
Chevron Corp CVX,2014,Petroleum Refining,"$227,202,229,296.35 ",Report on Shale Energy Operations,Social Policy,Environmental,N/A - Undisclosed,Other,Undisclosed,26.6
Chevron Corp CVX,2014,Petroleum Refining,"$227,202,229,296.35 ",Independent Director with Environmental Expertise,Social Policy,Environmental,N/A - Undisclosed,Other,Undisclosed,21.4
Chevron Corp CVX,2015,Petroleum Refining,"$197,055,259,335.69 ",Dividend Policy based on Environmental Issues,Social Policy,Environmental,As You Sow,Social,Socially Responsible Investing Funds,3.2
Chevron Corp CVX,2015,Petroleum Refining,"$197,055,259,335.69 ",Targets for Reducing Greenhouse Gas Emissions,Social Policy,Environmental,Sisters of St. Dominic,Social,Religious Institutions,8.2
Chevron Corp CVX,2015,Petroleum Refining,"$197,055,259,335.69 ",Report on Shale Energy Operations,Social Policy,Environmental,Sisters of St. Francis,Social,Religious Institutions,26.8
Chevron Corp CVX,2015,Petroleum Refining,"$197,055,259,335.69 ",Independent Director with Environmental Expertise,Social Policy,Environmental,N/A - Undisclosed,Other,Undisclosed,19.9
Chevron Corp CVX,2016,Petroleum Refining,"$179,517,902,361.75 ",Targets for Reducing Greenhouse Gas Emissions,Social Policy,Environmental,N/A - Undisclosed,Other,Undisclosed,7.9
Chevron Corp CVX,2016,Petroleum Refining,"$179,517,902,361.75 ",Report on Portfolio Impact of Policies to Limit Global Warming,Social Policy,Environmental,N/A - Undisclosed,Other,Undisclosed,40.8
Chevron Corp CVX,2016,Petroleum Refining,"$179,517,902,361.75 ",Report on Reserve Replacements,Social Policy,Environmental,N/A - Undisclosed,Other,Undisclosed,6.8
Chevron Corp CVX,2016,Petroleum Refining,"$179,517,902,361.75 ",Dividend Policy based on Evironmental Issues,Social Policy,Environmental,Arjuna Capital,Social,Socially Responsible Investing Funds,3.5
Chevron Corp CVX,2016,Petroleum Refining,"$179,517,902,361.75 ",Report on Shale Energy Operations,Social Policy,Environmental,N/A - Undisclosed,Other,Undisclosed,30.7
Chevron Corp CVX,2016,Petroleum Refining,"$179,517,902,361.75 ",Independent Director with Environmental Expertise,Social Policy,Environmental,N/A - Undisclosed,Other,Undisclosed,18.8
Chevron Corp CVX,2017,Petroleum Refining,"$204,233,742,528.20 ",Report on Portfolio Impact of Policies to Limit Global Warming,Social Policy,Environmental,N/A - Undisclosed,Other,Undisclosed,0
Chevron Corp CVX,2017,Petroleum Refining,"$204,233,742,528.20 ",Report on Transition to a Low Carbon Economy,Social Policy,Environmental,As You Sow,Social,Socially Responsible Investing Funds,26
Chevron Corp CVX,2017,Petroleum Refining,"$204,233,742,528.20 ",Independent Director with Environmental Expertise,Social Policy,Environmental,N/A - Undisclosed,Other,Undisclosed,19.6
